City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,saint-pierre,-21.3393,55.4781,73.4,78,90,19.57,RE,1623026216
85,le port,-20.9373,55.2919,73.4,81,14,10.78,RE,1623026216
86,port elizabeth,-33.918,25.5701,53.6,47,0,8.05,ZA,1623026217
87,ostersund,63.1792,14.6357,55.62,100,75,9.22,SE,1623026217
88,baracoa,20.3467,-74.4958,79.39,81,65,12.86,CU,1623026218
89,bambous virieux,-20.3428,57.7575,73.65,78,40,15.77,MU,1623026218
90,samoylovka,51.184,43.7081,53.33,93,99,4.9,RU,1623026219
91,codrington,-38.2667,141.9667,60.82,56,100,24.67,AU,1623026219
92,bredy,52.4153,60.3411,58.89,44,100,5.3,RU,1623025989
93,khorixas,-20.3667,14.9667,59.4,37,0,14.03,NA,1623026220
94,washougal,45.5826,-122.3534,63.68,69,88,7.0,US,1623026220
95,cherskiy,68.75,161.3,70.47,33,59,20.67,RU,1623026221
96,necochea,-38.5473,-58.7368,45.03,56,100,7.9,AR,1623026221
97,mehamn,71.0357,27.8492,40.46,68,1,4.27,NO,1623026222
98,saldanha,-33.0117,17.9442,68.0,32,0,12.66,ZA,1623026223
99,belyy yar,53.6039,91.3903,53.49,76,0,7.38,RU,1623026223
100,tabou,4.423,-7.3528,78.39,83,100,8.55,CI,1623026224
101,kisesa,-3.0833,34.15,60.24,75,3,6.71,TZ,1623026224
102,quatre cocos,-20.2078,57.7625,73.4,78,40,8.05,MU,1623026225
103,jishou,28.3167,109.7167,82.51,70,22,0.94,CN,1623026225
104,port moresby,-9.4431,147.1797,81.82,78,40,11.5,PG,1623026225
105,lavrentiya,65.5833,-171.0,34.75,90,100,5.48,RU,1623026226
106,guerrero negro,27.9769,-114.0611,65.82,68,86,15.9,MX,1623026227
107,qaanaaq,77.484,-69.3632,40.12,74,57,5.95,GL,1623026227
108,miragoane,18.4423,-73.0876,79.32,75,61,3.24,HT,1623026228
109,iqaluit,63.7506,-68.5145,33.53,86,75,8.99,CA,1623025936
110,klaksvik,62.2266,-6.589,49.12,98,100,8.01,FO,1623026228
111,provideniya,64.3833,-173.3,42.91,61,75,8.95,RU,1623026229
112,taoudenni,22.6783,-3.9836,100.8,9,84,7.74,ML,1623026230
113,balabac,7.9868,117.0645,83.93,79,100,9.06,PH,1623026230
114,pacific grove,36.6177,-121.9166,76.44,70,20,1.99,US,1623026012
115,san patricio,28.017,-97.5169,87.01,84,40,12.66,US,1623026231
116,udachnyy,66.4167,112.4,45.32,54,78,23.42,RU,1623026232
117,gamba,-2.65,10.0,74.97,96,100,5.73,GA,1623026232
118,cooma,-36.2333,149.1333,49.77,71,95,10.07,AU,1623026117
119,missoula,47.0166,-113.8009,54.0,39,100,4.76,US,1623026233
120,altagracia de orituco,9.8601,-66.3814,71.49,91,47,5.75,VE,1623026233
121,milkovo,54.7167,158.6167,46.47,82,95,0.89,RU,1623026234
122,solnechnyy,50.7214,136.6319,62.94,66,56,1.5,RU,1623026234
123,aksha,50.2814,113.2867,71.85,35,53,7.25,RU,1623026112
124,katherine,-14.4667,132.2667,78.8,57,69,8.05,AU,1623026235
125,sao joao da barra,-21.6403,-41.0511,73.83,86,100,13.51,BR,1623026235
126,mirador,-6.3708,-44.3631,74.88,59,37,0.94,BR,1623026236
127,swellendam,-34.0226,20.4417,57.58,38,3,10.98,ZA,1623026236
128,chuy,-33.6971,-53.4616,50.23,79,9,6.44,UY,1623026237
129,mandal,25.45,74.5667,84.7,51,0,7.94,IN,1623026237
130,nelson bay,-32.7167,152.15,60.12,66,33,1.01,AU,1623026238
131,broken hill,-31.95,141.4333,56.91,51,62,19.57,AU,1623026238
132,hithadhoo,-0.6,73.0833,82.87,73,2,12.55,MV,1623026238
133,tuktoyaktuk,69.4541,-133.0374,37.4,65,75,13.8,CA,1623026239
134,patea,-39.7583,174.4833,62.62,77,100,4.43,NZ,1623026239
135,tiksi,71.6872,128.8694,44.74,58,99,1.12,RU,1623026240
136,illela,13.7292,5.2975,83.14,58,100,10.89,NG,1623026240
137,kampene,-3.6,26.6667,67.5,98,100,1.01,CD,1623026241
138,cururupu,-1.8283,-44.8683,73.06,97,34,2.39,BR,1623026241
139,piacabucu,-10.4056,-36.4344,73.81,87,23,3.76,BR,1623026242
140,lagoa,39.05,-27.9833,63.55,88,100,12.82,PT,1623026242
141,tena,-0.9833,-77.8167,69.19,96,96,3.22,EC,1623026243
142,tarbes,43.25,0.1667,59.47,82,75,4.52,FR,1623026243
143,castro,-24.7911,-50.0119,60.71,72,100,3.65,BR,1623025987
144,dikson,73.5069,80.5464,30.11,90,100,14.16,RU,1623025987
145,mount gambier,-37.8333,140.7667,58.91,67,100,18.41,AU,1623026244
146,souillac,-20.5167,57.5167,73.4,78,40,8.05,MU,1623026245
147,upernavik,72.7868,-56.1549,36.61,82,25,3.91,GL,1623026246
148,cidreira,-30.1811,-50.2056,62.96,76,100,10.78,BR,1623026246
149,khatanga,71.9667,102.5,36.23,76,98,8.77,RU,1623026246
150,vestmannaeyjar,63.4427,-20.2734,48.04,88,100,19.91,IS,1623026247
151,batagay,67.6333,134.6333,56.5,34,100,8.5,RU,1623026248
152,road town,18.4167,-64.6167,80.69,78,40,11.5,VG,1623026248
153,ancud,-41.8697,-73.8203,48.0,100,90,12.66,CL,1623026249
154,zheshart,62.0731,49.5733,50.22,52,96,9.13,RU,1623026249
155,qandala,11.472,49.8728,89.58,51,0,2.62,SO,1623026250
156,touros,-5.1989,-35.4608,76.1,86,5,13.04,BR,1623025960
157,georgetown,5.4112,100.3354,81.9,88,20,3.44,MY,1623026190
158,skibbereen,51.55,-9.2667,49.8,86,100,6.93,IE,1623026250
159,anloga,5.7947,0.8973,82.62,80,38,10.0,GH,1623026251
160,meulaboh,4.1363,96.1285,76.06,85,100,4.61,ID,1623026252
161,bundaberg,-24.85,152.35,70.09,49,86,10.36,AU,1623026252
162,umm kaddadah,13.6017,26.6876,85.44,14,6,8.52,SD,1623026253
163,bluff,-46.6,168.3333,49.8,73,7,8.79,NZ,1623026253
164,sobral,-3.6861,-40.3497,76.5,69,23,1.1,BR,1623026254
165,ugoofaaru,5.6667,73.0,82.69,77,100,16.75,MV,1623026254
166,omboue,-1.5746,9.2618,75.85,95,100,5.99,GA,1623026255
167,ambovombe,-25.1667,46.0833,64.06,70,52,14.65,MG,1623026255
168,longyearbyen,78.2186,15.6401,35.44,80,0,8.05,SJ,1623026256
169,sao jose da coroa grande,-8.8978,-35.1478,75.6,84,21,7.14,BR,1623026256
170,santa cruz,-17.8,-63.1667,71.6,83,75,3.44,BO,1623026186
171,axim,4.8699,-2.2405,78.69,84,20,7.61,GH,1623026257
172,aklavik,68.2191,-135.0107,47.12,37,12,8.9,CA,1623026257
173,marystown,47.1666,-55.1483,52.86,100,79,5.99,CA,1623026258
174,champerico,14.3,-91.9167,84.34,74,15,6.42,GT,1623026258
175,yerbogachen,61.2767,108.0108,47.53,43,10,11.59,RU,1623026259
176,new norfolk,-42.7826,147.0587,60.3,42,100,8.7,AU,1623026259
177,berlevag,70.8578,29.0864,39.78,69,2,2.39,NO,1623026260
178,shirokiy,49.758,129.523,67.28,63,96,6.71,RU,1623026260
179,sabha,27.0377,14.4283,80.67,20,100,13.15,LY,1623026261
180,ayr,55.4627,-4.6339,51.93,87,32,1.14,GB,1623026261
181,chapais,49.7834,-74.8492,74.98,64,15,5.68,CA,1623025966
182,severo-kurilsk,50.6789,156.125,43.83,92,100,13.42,RU,1623026262
183,gat,31.61,34.7642,68.68,76,0,1.28,IL,1623026263
184,port blair,11.6667,92.75,80.64,83,90,9.22,IN,1623026263
